TeamID , SEASON , LeagueID , PLAYER , NUM , POSITION , HEIGHT , WEIGHT , BIRTH_DATE , AGE , EXP , SCHOOL , PLAYER_ID , 
1610612737 , 2014 , 00 , Jeff Teague , 0 , G , 6-2 , 181 , JUN 10 1988 , 27.0 , 5 , Wake Forest , 201952 , 
1610612737 , 2014 , 00 , Austin Daye , 3 , F , 6-11 , 220 , JUN 05 1988 , 27.0 , 5 , Gonzaga , 201948 , 
1610612737 , 2014 , 00 , Paul Millsap , 4 , F , 6-8 , 253 , FEB 10 1985 , 30.0 , 8 , Louisiana Tech , 200794 , 
1610612737 , 2014 , 00 , DeMarre Carroll , 5 , F , 6-8 , 212 , JUL 27 1986 , 28.0 , 5 , Missouri , 201960 , 
1610612737 , 2014 , 00 , Pero Antic , 6 , F-C , 6-11 , 260 , JUL 29 1982 , 32.0 , 1 , Macedonia , 203544 , 
1610612737 , 2014 , 00 , Elton Brand , 7 , F-C , 6-9 , 254 , MAR 11 1979 , 36.0 , 15 , Duke , 1882 , 
1610612737 , 2014 , 00 , Shelvin Mack , 8 , G , 6-3 , 207 , APR 22 1990 , 25.0 , 3 , Butler , 202714 , 
1610612737 , 2014 , 00 , John Jenkins , 12 , G , 6-4 , 215 , MAR 06 1991 , 24.0 , 2 , Vanderbilt , 203098 , 
1610612737 , 2014 , 00 , Al Horford , 15 , C-F , 6-10 , 250 , JUN 03 1986 , 29.0 , 7 , Florida , 201143 , 
1610612737 , 2014 , 00 , Dennis Schroder , 17 , G , 6-1 , 168 , SEP 15 1993 , 21.0 , 1 , Germany , 203471 , 
1610612737 , 2014 , 00 , Kent Bazemore , 24 , G , 6-5 , 201 , JUL 01 1989 , 25.0 , 2 , Old Dominion , 203145 , 
1610612737 , 2014 , 00 , Thabo Sefolosha , 25 , F-G , 6-7 , 222 , MAY 02 1984 , 31.0 , 8 , Vevey Switzerland , 200757 , 
1610612737 , 2014 , 00 , Kyle Korver , 26 , G , 6-7 , 212 , MAR 17 1981 , 34.0 , 11 , Creighton , 2594 , 
1610612737 , 2014 , 00 , Mike Muscala , 31 , F-C , 6-11 , 230 , JUL 01 1991 , 23.0 , 1 , Bucknell , 203488 , 
1610612737 , 2014 , 00 , Mike Scott , 32 , F , 6-8 , 237 , JUL 16 1988 , 26.0 , 2 , Virginia , 203118 , 
1610612738 , 2014 , 00 , Avery Bradley , 0 , G , 6-2 , 180 , NOV 26 1990 , 24.0 , 4 , Texas , 202340 , 
1610612738 , 2014 , 00 , Isaiah Thomas , 4 , G , 5-9 , 185 , FEB 07 1989 , 26.0 , 3 , Washington , 202738 , 
1610612738 , 2014 , 00 , Jared Sullinger , 7 , F , 6-9 , 260 , MAR 04 1992 , 23.0 , 2 , Ohio State , 203096 , 
1610612738 , 2014 , 00 , Jonas Jerebko , 8 , F , 6-10 , 231 , MAR 02 1987 , 28.0 , 4 , Kinna Sweden , 201973 , 
1610612738 , 2014 , 00 , Evan Turner , 11 , G-F , 6-7 , 220 , OCT 27 1988 , 26.0 , 4 , Ohio State , 202323 , 
1610612738 , 2014 , 00 , James Young , 13 , G-F , 6-6 , 215 , AUG 16 1995 , 19.0 , R , Kentucky , 203923 , 
1610612738 , 2014 , 00 , Phil Pressey , 26 , G , 5-11 , 175 , FEB 17 1991 , 24.0 , 1 , Missouri , 203515 , 
1610612738 , 2014 , 00 , Brandon Bass , 30 , F-C , 6-8 , 250 , APR 30 1985 , 30.0 , 9 , Louisiana State , 101138 , 
1610612738 , 2014 , 00 , Marcus Smart , 36 , G , 6-4 , 220 , MAR 06 1994 , 21.0 , R , Oklahoma State , 203935 , 
1610612738 , 2014 , 00 , Kelly Olynyk , 41 , C-F , 7-0 , 238 , APR 19 1991 , 24.0 , 1 , Gonzaga , 203482 , 
1610612738 , 2014 , 00 , Tyler Zeller , 44 , C-F , 7-0 , 253 , JAN 17 1990 , 25.0 , 2 , North Carolina , 203092 , 
1610612738 , 2014 , 00 , Gerald Wallace , 45 , F , 6-7 , 220 , JUL 23 1982 , 32.0 , 13 , Alabama , 2222 , 
1610612738 , 2014 , 00 , Chris Babb , 52 , G , 6-5 , 225 , FEB 14 1990 , 25.0 , 1 , Iowa State , 203569 , 
1610612738 , 2014 , 00 , Gigi Datome , 70 , F , 6-8 , 215 , NOV 27 1987 , 27.0 , 1 , Italy , 203540 , 
1610612738 , 2014 , 00 , Jae Crowder , 99 , F , 6-6 , 235 , JUL 06 1990 , 24.0 , 2 , Marquette , 203109 , 
